ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
F791,Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment,Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment,Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment,Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment,"Retardo mental não especificado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento",F79.1 Compr signif comport req vigilancia ou trat
F798,Unspecified mental retardation: Other impairments of behaviour,Unspecified mental retardation: Other impairments of behaviour,Unspecified mental retardation: Other impairments of behaviour,Unspecified mental retardation: Other impairments of behaviour,Retardo mental não especificado - outros comprometimentos do comportamento,F79.8 Outr comprometimentos do comport
F799,Unspecified mental retardation: Without mention of impairment of behaviour,Unspecified mental retardation: Without mention of impairment of behaviour,Unspecified mental retardation: Without mention of impairment of behaviour,Unspecified mental retardation: Without mention of impairment of behaviour,Retardo mental não especificado - sem menção de comprometimento do comportamento,F79.9 S/mencao de compr do comport
F80,Specific developmental disorders of speech and language,Specific developmental disorders of speech and language,Specific developmental disorders of speech and language,Specific developmental disorders of speech and language,Transtornos específicos do desenvolvimento da fala e da linguagem,F80   Transt especificos desenvolv fala linguagem
F800,Specific speech articulation disorder,Specific speech articulation disorder,Specific speech articulation disorder,Specific speech articulation disorder,Transtorno específico da articulação da fala,F80.0 Transt especifico da articulacao da fala
F801,Expressive language disorder,Expressive language disorder,Expressive language disorder,Expressive language disorder,Transtorno expressivo de linguagem,F80.1 Transt expressivo de linguagem
F802,Receptive language disorder,Receptive language disorder,Receptive language disorder,Receptive language disorder,Transtorno receptivo da linguagem,F80.2 Transt receptivo da linguagem
F803,Acquired aphasia with epilepsy [Landau-Kleffner],Acquired aphasia with epilepsy [Landau-Kleffner],Acquired aphasia with epilepsy [Landau-Kleffner],Acquired aphasia with epilepsy [Landau-Kleffner],Afasia adquirida com epilepsia [síndrome de Landau-Kleffner],F80.3 Afasia adquir c/epilepsia
F808,Other developmental disorders of speech and language,Other developmental disorders of speech and language,Other developmental disorders of speech and language,Other developmental disorders of speech and language,Outros transtornos de desenvolvimento da fala ou da linguagem,F80.8 Outr transt desenvolv fala ou linguagem
F809,"Developmental disorder of speech and language, unspecified","Developmental disorder of speech and language, unspecified","Developmental disorder of speech and language, unspecified","Developmental disorder of speech and language, unspecified",Transtorno não especificado do desenvolvimento da fala ou da linguagem,F80.9 Transt NE do desenvolv da fala ou linguagem
F81,Specific developmental disorders of scholastic skills,Specific developmental disorders of scholastic skills,Specific developmental disorders of scholastic skills,Specific developmental disorders of scholastic skills,Transtornos específicos do desenvolvimento das habilidades escolares,F81   Transt especif desenvolv habilidade escolar
F810,Specific reading disorder,Specific reading disorder,Specific reading disorder,Specific reading disorder,Transtorno específico de leitura,F81.0 Transt especifico de leitura
F811,Specific spelling disorder,Specific spelling disorder,Specific spelling disorder,Specific spelling disorder,Transtorno específico da soletração,F81.1 Transt especifico da soletracao
F812,Specific disorder of arithmetical skills,Specific disorder of arithmetical skills,Specific disorder of arithmetical skills,Specific disorder of arithmetical skills,Transtorno específico da habilidade em aritmética,F81.2 Transt especifico habilidade em aritmetica
F813,Mixed disorder of scholastic skills,Mixed disorder of scholastic skills,Mixed disorder of scholastic skills,Mixed disorder of scholastic skills,Transtorno misto de habilidades escolares,F81.3 Transt misto de habilidades escolares
F818,Other developmental disorders of scholastic skills,Other developmental disorders of scholastic skills,Other developmental disorders of scholastic skills,Other developmental disorders of scholastic skills,Outros transtornos do desenvolvimento das habilidades escolares,F81.8 Outr transt do desenvolv habilidade escolar
F819,"Developmental disorder of scholastic skills, unspecified","Developmental disorder of scholastic skills, unspecified","Developmental disorder of scholastic skills, unspecified","Developmental disorder of scholastic skills, unspecified",Transtorno não especificado do desenvolvimento das habilidades escolares,F81.9 Transt NE do desenvolv habilidades escolares
F82,Specific developmental disorder of motor function,Specific developmental disorder of motor function,Specific developmental disorder of motor function,Specific developmental disorder of motor function,Transtorno específico do desenvolvimento motor,F82   Transt especifico do desenvolv motor
F83,Mixed specific developmental disorders,Mixed specific developmental disorders,Mixed specific developmental disorders,Mixed specific developmental disorders,Transtornos específicos misto do desenvolvimento,F83   Transt especificos misto do desenvolv
F84,Pervasive developmental disorders,Pervasive developmental disorders,Pervasive developmental disorders,Pervasive developmental disorders,Transtornos globais do desenvolvimento,F84   Transt globais do desenvolv
F840,Childhood autism,Childhood autism,Childhood autism,Childhood autism,Autismo infantil,F84.0 Autismo infantil
F841,Atypical autism,Atypical autism,Atypical autism,Atypical autism,Autismo atípico,F84.1 Autismo atipico
F842,Rett's syndrome,Rett's syndrome,Rett's syndrome,Rett's syndrome,Síndrome de Rett,F84.2 Sindr de Rett
F843,Other childhood disintegrative disorder,Other childhood disintegrative disorder,Other childhood disintegrative disorder,Other childhood disintegrative disorder,Outro transtorno desintegrativo da infância,F84.3 Outr transt desintegrativo da infancia
F844,Overactive disorder associated with mental retardation and stereotyped movements,Overactive disorder associated with mental retardation and stereotyped movements,Overactive disorder associated with mental retardation and stereotyped movements,Overactive disorder associated with mental retardation and stereotyped movements,Transtorno com hipercinesia associada a retardo mental e a movimentos estereotipados,F84.4 Transt c/hipercin ass ret ment mov estereot
F845,Asperger's syndrome,Asperger's syndrome,Asperger's syndrome,Asperger's syndrome,Síndrome de Asperger,F84.5 Sindr de Asperger
F848,Other pervasive developmental disorders,Other pervasive developmental disorders,Other pervasive developmental disorders,Other pervasive developmental disorders,Outros transtornos globais do desenvolvimento,F84.8 Outr transt globais do desenvolv
F849,"Pervasive developmental disorder, unspecified","Pervasive developmental disorder, unspecified","Pervasive developmental disorder, unspecified","Pervasive developmental disorder, unspecified",Transtornos globais não especificados do desenvolvimento,F84.9 Transt globais NE do desenvolv
F88,Other disorders of psychological development,Other disorders of psychological development,Other disorders of psychological development,Other disorders of psychological development,Outros transtornos do desenvolvimento psicológico,F88   Outr transt do desenvolv psicologico
F89,Unspecified disorder of psychological development,Unspecified disorder of psychological development,Unspecified disorder of psychological development,Unspecified disorder of psychological development,Transtorno do desenvolvimento psicológico não especificado,F89   Transt do desenvolv psicologico NE
F90,Hyperkinetic disorders,Hyperkinetic disorders,Hyperkinetic disorders,Hyperkinetic disorders,Transtornos hipercinéticos,F90   Transt hipercineticos
F900,Disturbance of activity and attention,Disturbance of activity and attention,Disturbance of activity and attention,Disturbance of activity and attention,Distúrbios da atividade e da atenção,F90.0 Disturbios da atividade e da atencao
F901,Hyperkinetic conduct disorder,Hyperkinetic conduct disorder,Hyperkinetic conduct disorder,Hyperkinetic conduct disorder,Transtorno hipercinético de conduta,F90.1 Transt hipercinetico de conduta
F908,Other hyperkinetic disorders,Other hyperkinetic disorders,Other hyperkinetic disorders,Other hyperkinetic disorders,Outros transtornos hipercinéticos,F90.8 Outr transt hipercineticos
